name,color
Universität,#9ACD32
Odeonsplatz,#377DB8
HM,#F5DEB3
Oettingenstr,#EE82EE
Chicago,#40E0D0
Cleveland,#FF6347
TU,#D8BFD8
Denver,#D2B48C
Theresienstr,#4682B4
Los Angeles,#00FF7F
Stabi,#FFFAFA
Prof-Hub.,#708090
Garching,#708090
Geschwister-Scholl-Platz,#6A5ACD
Lothstr,#87CEEB
Arccisstr,#A0522D
Seattle,#FFF5EE
Schellingstr,#2E8B57
Amalienstr,#F4A460
Giselastr,#FA8072
